# npm Audit Summary

Info: 0
Low: 0
Moderate: 4
High: 18
Critical: 0
Total: 22

## Affected Packages
@eslint/eslintrc | severity=high | direct=false | range=0.0.1 || >=0.1.1 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
@hono/node-server | severity=moderate | direct=false | range=<=2.0.4 | fixAvailable={"name":"prisma","version":"7.9.1","isSemVerMajor":false}
@humanwhocodes/config-array | severity=high | direct=false | range=* | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
@next/eslint-plugin-next | severity=high | direct=false | range=14.0.5-canary.0 - 15.0.0-rc.1 | fixAvailable={"name":"eslint-config-next","version":"16.2.12","isSemVerMajor":true}
@prisma/dev | severity=moderate | direct=false | range=<=0.24.16 | fixAvailable={"name":"prisma","version":"7.9.1","isSemVerMajor":false}
@typescript-eslint/parser | severity=high | direct=false | range=1.1.1-alpha.0 - 8.55.1-alpha.3 | fixAvailable=true
@typescript-eslint/typescript-estree | severity=high | direct=false | range=6.16.0 - 7.5.0 | fixAvailable=true
brace-expansion | severity=high | direct=false | range=<=5.0.7 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
eslint | severity=high | direct=true | range=0.12.0 - 2.0.0-rc.1 || 4.1.0 - 10.0.0-rc.2 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
eslint-config-next | severity=high | direct=true | range=>=10.2.1-canary.2 | fixAvailable={"name":"eslint-config-next","version":"16.2.12","isSemVerMajor":true}
eslint-plugin-import | severity=high | direct=false | range=>=1.15.0 | fixAvailable=true
eslint-plugin-jsx-a11y | severity=high | direct=false | range=>=6.5.0 | fixAvailable={"name":"eslint-config-next","version":"16.2.12","isSemVerMajor":true}
eslint-plugin-react | severity=high | direct=false | range=>=7.23.0 | fixAvailable={"name":"eslint-config-next","version":"16.2.12","isSemVerMajor":true}
file-entry-cache | severity=high | direct=false | range=4.0.0 - 7.0.2 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
flat-cache | severity=high | direct=false | range=1.3.4 - 4.0.0 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
glob | severity=high | direct=false | range=4.3.0 - 10.5.0 | fixAvailable={"name":"eslint-config-next","version":"16.2.12","isSemVerMajor":true}
minimatch | severity=high | direct=false | range=2.0.0 - 10.0.2 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
prisma | severity=moderate | direct=true | range=6.20.0-dev.1 - 7.9.0-dev.31 | fixAvailable={"name":"prisma","version":"7.9.1","isSemVerMajor":false}
rimraf | severity=high | direct=false | range=2.3.0 - 3.0.2 || 4.2.0 - 5.0.10 | fixAvailable={"name":"eslint","version":"10.8.0","isSemVerMajor":true}
rolldown | severity=high | direct=false | range= | fixAvailable=true
valibot | severity=moderate | direct=false | range=<=1.4.1 | fixAvailable={"name":"prisma","version":"7.9.1","isSemVerMajor":false}
vite | severity=high | direct=false | range=8.1.5 | fixAvailable=true
